7zip 26.02-1
xorg-mkfontscale 1.2.4-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-server-devel 21.1.24-1
xorg-server-src 21.1.24-1
xorg-server-xephyr 21.1.24-1
xorg-server-xnest 21.1.24-1
xorg-server-xvfb 21.1.24-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.5-1
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.7-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.7-1
xorg-xkill 1.0.7-1
xorg-xlsatoms 1.1.5-1
xorg-xlsclients 1.1.6-1
xorg-xmodmap 1.0.12-1
xorg-xpr 1.2.0-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.3-1
xorg-xrefresh 1.1.1-1
xorg-xset 1.2.6-1
xorg-xsetroot 1.1.4-1
xorg-xvinfo 1.1.6-1
xorg-xwayland 24.1.13-1
xorg-xwd 1.0.10-1
xorg-xwininfo 1.1.7-1
xorg-xwud 1.0.8-1
yay 12.5.7-1
yay-debug 12.5.7-1
zip 3.0-13
zoxide 0.10.0-1
